,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
17,cuervingenuo,Mi percepción de esta engañosa realidad. Aprendiz de hombre.,,843,152,43816,126,What future do we want for our Uplands in @peakdistrict ? One where grouse moors are burnt or where we let our Uplands become wilder and rowan trees begin to regenerate across the landscape? Which is better to deal with #ClimateEmergency and #BiodiversityCrisis I wonder hmmm? https://t.co/Dxlmf7CGnJ,[]
18,ShellBell2227,💧,,947,270,442,0,#PacificOceanscapeMPB Seagrasses and seagrass habitats in #Pacific  - the potential loss of benefits via human disturbance and climate change led by Gilianne Brodie @the_applied @uspmarine1 #seagrass #climatechange #blueeconomy #bluecarbon #pollution  https://t.co/jjqEGHuYwB,"['PacificOceanscapeMPB', 'Pacific', 'seagrass', 'climatechange', 'blueeconomy', 'bluecarbon', 'pollution']"
19,cberrets,Direttore Generale TIP (@tamburiTIP),Milano,1390,1514,19822,2,"Full Year 2020 Results. Acceleration on #ESG and #climatechange, #Prysmian adopts science-based targets (1.5°), with net zero goal by 2040 (scope 1 and 2) #PrysmianIR https://t.co/OcIgm5gTHE https://t.co/QIR7s927tL","['ESG', 'climatechange', 'Prysmian']"
20,Catacly77690840,,,0,5,398,0,"Natural disasters compilation. 
#climatechange #disasters 
#eruptuon #SanCristobal #Nicaragua #volcano
https://t.co/mciKxE1yso","['climatechange', 'disasters', 'eruptuon', 'SanCristobal', 'Nicaragua', 'volcano']"
21,UNinSouthAfrica,"Official Twitter handle of the @UN System in #SouthAfrica. 

Facebook: https://t.co/gKekQkyKnm","Pretoria, South Africa",3692,15070,10562,0,"Mr.Jian Liu of @UNEP in @UnKenya at #SouthernAfricaImpact Forum says, #Africa is a land of #HOPE &amp; home to @UNEP.
We must address #ClimateChange, #Environmental #Degradation &amp; #WasteManagement in order to transcend #African societies for a #Sustainable future. #THEGlobalImpact https://t.co/NrQ2siDHyF","['SouthernAfricaImpact', 'Africa', 'HOPE', 'ClimateChange', 'Environmental', 'Degradation', 'WasteManagement', 'African', 'Sustainable', 'THEGlobalImpact']"
22,UNDPArabic,شعوب متمكنة، أمم صامدة -الحساب الرسمي لبرنامج الأمم المتحدة الإنمائي في المنطقة العربية. UNDP official account in the Arab States,المنطقة العربية Arab States,989,88009,38783,4,"In the Arab States women are leading at the community level in crisis response &amp; #climatechange. 

The key is to support the increase of their leadership at national &amp; community levels including in the most difficult contexts.

@khalida_bouzar 

#IWD2021 
#ClimateAction https://t.co/kKgQuAbWRg",['climatechange']
23,Kamaulisbeth,"Certified Journalist.👩🏾‍🎓🎓🧡
Videographer KCIC consulting.📽️🎬🎥
Content creator and Editor. 🎥🎧
Healthy💛 living ❤️ambassador. 💜♀️🇰🇪♂️
🇰🇪Home🤗",Nairobi ,384,295,6956,7,"With #innovative support to #agribusiness entrepreneurs across the county, we can end poverty, eradicate hunger, promote decent work &amp; economic growth all while combating #climatechange and promoting sustainable use of land. #AgriBizKilifi @EUinKenya @denmarkinkenya @EuMordue https://t.co/4reg8cqD4g","['innovative', 'agribusiness']"
24,UNDPArabic,شعوب متمكنة، أمم صامدة -الحساب الرسمي لبرنامج الأمم المتحدة الإنمائي في المنطقة العربية. UNDP official account in the Arab States,المنطقة العربية Arab States,989,88009,38783,5,"The region contains 1⃣4⃣ of the world’s 2⃣0⃣ most water-stressed countries and hosts 2⃣6⃣ million refugees &amp; internally displaced persons.

Together, conflict and #climatechange, undermine human security &amp; risk regress in #genderequality.

@khalida_bouzar #IWD2021 https://t.co/l1A0TjdKv6",[]
25,HopefulGardenr,,,863,650,63832,9,NOW WE FIX: Trump Eliminated Science For To Increase Corporate Profits. READ: https://t.co/poWcClBO9W #SmartDissent #ScienceTwitter #ClimateChange @EPA https://t.co/22PzMgXpW6,['SmartDissent']
26,UNDPArabic,شعوب متمكنة، أمم صامدة -الحساب الرسمي لبرنامج الأمم المتحدة الإنمائي في المنطقة العربية. UNDP official account in the Arab States,المنطقة العربية Arab States,989,88009,38783,3,"In the Arab States, 5⃣0⃣% of the refugee population is female, &amp; at least a third of the refugee households are female-headed.

Women carry triple burdens as they are disproportionately impacted by #climatechange, forced displacement, and #COVID19!

@SujalaPant 

#IWD2021 https://t.co/s9kPlvrBJ5",[]
27,KeillerDon,"Retired scientist. Fighting for free speech and speaking out against the climate change scam. Yes, that really is me.","Cambridge, England",2815,4697,43161,0,"Bet Greta will be pissed when she finds out that Gerald, who she follows, burns down forests for a living.
#Climatechange #climatebrawl #ClimateCrisis https://t.co/Ga5g92GWWA https://t.co/GDaWEdvEbR","['Climatechange', 'climatebrawl', 'ClimateCrisis']"
28,SDGsbot,"Anything and everything related to Sustainable Development Goals.  Bot Created by @Gurmeet_Kaur1 
Rts are not endorsement",Everywhere,10,7890,76036,1,"I would like to thank the outgoing DG of @isolaralliance Shri @upendratripathy for interacting and guiding over all these years as secretary @mnreindia and DG ISA. I am thankful to him for all the support!

#Solar #ClimateChange #EnergySwaraj #EnergySwarajYatra #SDGs #SunMeet https://t.co/krJdZsMhtE",[]
29,UNDPArabic,شعوب متمكنة، أمم صامدة -الحساب الرسمي لبرنامج الأمم المتحدة الإنمائي في المنطقة العربية. UNDP official account in the Arab States,المنطقة العربية Arab States,989,88009,38783,3,".@undpiniraq supports women in marshes who are most affected by #climatechange through:

💧Clean water &amp; safe sanitation

🌱Livelihoods through responsible ecotourism

📄Effective public policies for socioeconomic 
integration of youth &amp; women

@Zena_aliahmad #IWD2021 https://t.co/wk8syxABbP",['climatechange']
30,LeoBeltranR,"Ex-subsecretario de energia, miembro del consejo de SEforALL, de Fundación por México y de la iniciativa partnering for sustainable energy innovation del WEF",Mexico D.F.,202,6087,19383,1,"“Attending to #climatechange is a job creator fundamentally. It’s the greatest job creation opportunity that we have in our lifetimes to shepherd through what will be a just transition to a global clean energy economy,” says @AndrwLight at #JustTransitions event",['climatechange']
31,UNDPArabic,شعوب متمكنة، أمم صامدة -الحساب الرسمي لبرنامج الأمم المتحدة الإنمائي في المنطقة العربية. UNDP official account in the Arab States,المنطقة العربية Arab States,989,88009,38783,3,"Some of the challenges in #Sudan:

🔹Desertification &amp; #climatechange
🔹Displacement
🔹Poverty &amp; unemployment
🔹Underrepresentation of women in decision-making
🔹Conflicts between pastoral groups &amp; sedentary farmers
🔹Lack of data driven policies

@DKyurkchieva #IWD2021 https://t.co/MEiznQspd7","['Sudan', 'climatechange']"
32,GlennMCcready,"NUFC, Ashley OUT. 💯%. Followback.",,2417,1119,16982,4,"#Budget2021 was a mean &amp; limited #matesrates sticking plaster of a #budget lacking vision &amp; ambition. There is nothing for #socialcare, our key industries or #Newcastle &amp; next to nothing on #Climatechange &amp; #infrastructure https://t.co/tBegyXUATe","['Budget2021', 'matesrates', 'budget']"
33,Zuzusmama,"✝ 🇺🇸 🕵
Truth-seeker.  Skeptic. 
Awake but not woke. 
Family is the only thing that matters.
Pronouns: chump/deplorable/Neanderthal","Texas, USA",593,427,9532,13,"@ILovesMyUSA Greenpeace Cofounder: #ClimateCrisis is a FRONT for a RADICAL, POLITICAL, SOCIAL, and ECONOMIC ‘TRANSFORMATION’ OF OUR ENTIRE CIVILIZATION” 

In other words, #ClimateChange is a GLOBAL wealth redistribution scam.
https://t.co/t6LELmqRHo",['ClimateCrisis']
34,anlomedad,"I know nothing of Snow and climate change. But its complexity is fascinating.
And how should our societies live within biophysical planetary boundaries?
*322ppm",Germany,945,933,36359,3,"The world's climate is changing rapidly
Fresh water and food needed for humans to live will increase instability
#FridaysForFuture
#Climatejustice　　#気候正義
#Climatechange
#ClimateEmergency #ClimateCrisis #気候危機
#Environmentaldestruction  #環境破壊
#biodiversity https://t.co/LbsCzOVA1C",[]
35,jaspercjones,,"Franklin, TN",960,149,5511,0,"So, an interesting email I received from Gulf Power. The investment in #CleanEnergy has meant my electric rate is going down. Maybe the #GreenNewDeal is a good thing. What a concept. #AOC #climatechange","['CleanEnergy', 'GreenNewDeal', 'AOC', 'climatechange']"
36,Revo60853009,,,64,51,4190,10,"When there's a will, there's a way...

If we landed on top of your building, @ecb, you can cut out toxic assets and change fiscal rules to tackle the #ClimateEmergency we face.

@Lagarde @Isabel_Schnabel @FrankElderson we will be watching! https://t.co/kF3srzde8X",[]
37,TornadoQuest,Earth science/geography educator. Global climate policy interests. Scientific method advocate. 40+ years in Skywarn/storm chasing. Docendo discimus!,"Tulsa, OK, USA",4738,10085,47528,0,RT @Treehugger: Butterflies are fading fast from the American West -- and #ClimateChange has a lot to do with it  https://t.co/C2FdV7RJGr #extinction https://t.co/hpDF8tfLvo https://t.co/nqhtYWUE7M,"['ClimateChange', 'extinction']"
38,US_SIF,"Advancing sustainable, responsible and impact investing across all asset classes.",,2707,8040,9762,0,Rethinking impact: Investing in the circular economy to fight climate change: https://t.co/p5f9GMJ7Qa via @CirculateCap in @jakpost #ESG #climatechange #circulareconomy,"['ESG', 'climatechange', 'circulareconomy']"
39,CarbonRemovalAU,"Assessing the social, legal, ethical, and political implications of carbon removal as a response to climate change.","Washington, DC",446,648,333,2,ICYMI: Members of the broad-based cross-sector coalition @CEOClimate sent a letter to President Biden in support of setting an ambitious U.S. NDC to protect against the worst impacts of #climatechange. Read the letter here: https://t.co/1u1QamfpBd https://t.co/tpZwcoD1Nq,[]
40,FLYMAN543,,,264,175,34819,20,"Our new #LearningforSustainability #ThisIsLfS Padlet can support teaching about #ClimateChange, the #NatureCrisis and the environment in the National Park. A great resource for all educators interested in #OutdoorLearning and teaching about the #GlobalGoals #BSW21 #STEM 🌎  📚","['LearningforSustainability', 'ThisIsLfS', 'ClimateChange', 'NatureCrisis']"
41,SDG2030,#SustainableDevelopmentGoals l #SDGs l #SDGsImpactChat l #BuildBackSustainable,No Planet B ,502,79861,116657,6,"NEW ONLINE COURSE: “UNCCD CRIC“ is developed to understand the importance of how CRIC plays a central role in the @UNCCD implementation process.

Enroll: https://t.co/tYqmywnD3O

#onlinecourse #elearning #sdgs #climatechangemitigation #climatechange #sustainablelandmanagement https://t.co/hCndV8tUVD",[]
42,DrChetanSolanki,"An Educator, Innovator, Researcher, Entrepreneur, Author and Philosopher, TEDx Speaker well known in the solar sector.",IIT Bombay,50,1194,762,1,"I would like to thank the outgoing DG of @isolaralliance Shri @upendratripathy for interacting and guiding over all these years as secretary @mnreindia and DG ISA. I am thankful to him for all the support!

#Solar #ClimateChange #EnergySwaraj #EnergySwarajYatra #SDGs #SunMeet https://t.co/krJdZsMhtE","['Solar', 'ClimateChange', 'EnergySwaraj', 'EnergySwarajYatra', 'SDGs', 'SunMeet']"
43,Michelauret,"I am a mom a Yoga teacher and I work for a Realtor. I speak 3 other languages, German, French and Afrikaans. I have travelled quite extensively. Love life !","Florida, USA",315,260,94086,9,NOW WE FIX: Trump Eliminated Science For To Increase Corporate Profits. READ: https://t.co/poWcClBO9W #SmartDissent #ScienceTwitter #ClimateChange @EPA https://t.co/22PzMgXpW6,['SmartDissent']
44,InvestSegunda,Segunda Mão Investimento S.A / G2 Textile 🇵🇹🇦🇴,"Lisboa, Portugal",215,80,7737,2,"Full Year 2020 Results. Acceleration on #ESG and #climatechange, #Prysmian adopts science-based targets (1.5°), with net zero goal by 2040 (scope 1 and 2) #PrysmianIR https://t.co/OcIgm5gTHE https://t.co/QIR7s927tL","['ESG', 'climatechange', 'Prysmian']"
45,MushroomTable,"biodynamic mushroom farmer, forager",Essex,478,1576,30432,126,What future do we want for our Uplands in @peakdistrict ? One where grouse moors are burnt or where we let our Uplands become wilder and rowan trees begin to regenerate across the landscape? Which is better to deal with #ClimateEmergency and #BiodiversityCrisis I wonder hmmm? https://t.co/Dxlmf7CGnJ,[]
46,AlexSonneck,"Working in Communications for Hitachi ABB Power Grids, views are my own","Dienheim, Deutschland",317,194,318,9,"We’re proud to announce Hitachi is a Principal Partner for the @UN’s @COP26 #climatechange  
summit taking place in Glasgow this November!  

#COP26 is a significant step forward in the creation of a decarbonised society. Find out more: https://t.co/IXFhukp6ct https://t.co/1W1jE46ghV",['climatechange']
47,Jan0fficial,#Malware | CTI | OSINT | ǝɹɐʍןɐɯ Analyst | Cyber Security Researcher | #Emotet | Opinions belong to my cat | 🇩🇰 | @Cryptolaemus1 | APT-666 |,сука блядь,351,3062,19984,0,#climatechange.. yeah i'm looking at you @NASA and @SpaceX ...,['climatechange']
48,rsjadeja125,"कच्छ हमारी जन्मभूमि है, टुंडा हमारा गाँव !! राजपूत कुल के सपूत है, जाडेजा हमारी पहचान !! राष्ट्रीय स्वयंसेवक संघ, भाजपा कार्यकर्ता,राष्ट्रसेवा-टुंडा,कच्छ",भारतवर्ष,1826,6210,67075,1,"It was a pleasure meeting and interacting with the incoming DG of @isolaralliance  Shri. Ajay Mathur at the #SunMeet 
@Energy_Swaraj would love to support ISA in promoting solar energy globally. 

#Solar #ClimateChange #EnergySwaraj #EnergySwarajYatra #SDGs #CleanEnergy https://t.co/eCehu2Izlj",['SunMeet']
49,BlythWalker,Scottish Environmental Science BSc Graduate - Passionate about Rewilding and Ecological Restoration - Let’s save the Wild Things!!🐘🌲🌍🏴󠁧󠁢󠁳󠁣󠁴󠁿,,291,110,2753,1,Sustainable deer management can help tackle the climate and nature emergency by restoring ecosystem services. Read our report to see how deer management can help Scotland tackle the twin crisis of #natureloss and #climatechange https://t.co/xyez8fxoxD,[]
50,arushv93,A page about our beloved country 🇰🇪 where every Kenyan can contribute how they think our country should be.......feel free to share your deepest thoughts here,"Nairobi, Kenya",2020,129,1943,60,"Kampala Capital City Authority’s Nakyagaba Consolate Kiyingi speaks to Devex about how authorities are navigating #climatechange challenges in Uganda’s capital city.

#DevexSeries on #ResilientCities · #sponsored by @UNDRR
https://t.co/Qwt6O6eDiJ",['climatechange']
51,NEIinvestments,We design responsible investment funds to help you grow your wealth and build a more sustainable future. Important disclosures: https://t.co/hOU6AHVkqb,Canada,736,1823,3324,0,Learn how Federal #greenbonds could get us closer to hitting net-zero emissions by 2050. https://t.co/Ps2lBjemiP #ESG #ClimateChange,"['greenbonds', 'ESG', 'ClimateChange']"
52,VauntedJT,"I am a husband, father, grandfather, I am against all injustice in today’s society. Resistance to racism and fascism. 🌊","Ohio, USA",2524,967,87864,9,NOW WE FIX: Trump Eliminated Science For To Increase Corporate Profits. READ: https://t.co/poWcClBO9W #SmartDissent #ScienceTwitter #ClimateChange @EPA https://t.co/22PzMgXpW6,['SmartDissent']
53,Centre4RespBiz,"We enable the change, help businesses and governments to be more responsible and ethical by adapting sustainable practices. Follow us and know more.","New Delhi, India",1066,768,2849,0,"India needs a strategy on #ClimateChange negotiations to safeguard its interests, contribute to a global climate regime that enhances its developmnt prospects &amp; helps to:
-adapt to climate change
-accelerate its transition to a #LowCarbon growth trajectory
https://t.co/5KZR7VU4V6","['ClimateChange', 'LowCarbon']"
54,martiendas,"💚❤️🚲 klimaatbeleid, duurzame mobiliteit & autodelen bij RWS, 32u, vegetarier, gezin, wil graag een #fossielvrij pensioen",,5192,4737,21191,10,"Check out our revamped Global Stocktake tool, including the new @COMMIT_MCS scenarios, to see where we stand in implementing the Paris Agreement on #climatechange https://t.co/bbzg9mdsmE https://t.co/8E0whiKxEH",[]
55,EdinburghWatch,I randomly RT content from around Edinburgh to present a slice of Lothian life. Sister account to @Glasgow_Watch. Created by actual human @ardavey.,"Edinburgh, Scotland",1,11855,1453166,1,"""As...cities &amp; provinces enhance efforts to tackle the #climatecrisis through ambitious #climatechange plans &amp; revised #urbanplanning...recognition of the links between environmental #equity &amp; #socialjustice should inspire us to create a better #future...""
https://t.co/horDOxUcBq","['climatecrisis', 'climatechange']"
56,heather_c_c,Green Party member. We won't survive without Green policies. Our NHS matters more than any party. ❤ Peak District     🐤 🌼 🌳 🚲  #sodden570,Derbyshire,5000,3585,296955,2,"Another thread for today - do see the replies!

These fantasies - ignoring the realities of most streets and wider transport issues such as #ClimateEmergency and poor public health - are the pollution equivalent of the Jetson, Hyperloop and AV fantasies for future travel. https://t.co/x0OQKOL4xg",[]
57,DrRueckauf,Digitale Themen - Wirtschaftsnachrichten Wirtschaftspolitik - Umwelt & Naturschutz 🇩🇪🇩🇪🇩🇪,Deutschland,1951,2919,133780,10,"When there's a will, there's a way...

If we landed on top of your building, @ecb, you can cut out toxic assets and change fiscal rules to tackle the #ClimateEmergency we face.

@Lagarde @Isabel_Schnabel @FrankElderson we will be watching! https://t.co/kF3srzde8X",[]
58,PrysmianGroup,We have been connecting the world for over 140 years. Now we continue enabling the digital & energy transition worldwide. #linkingthesustainablefuture,Milan,137,5512,1621,2,"Full Year 2020 Results. Acceleration on #ESG and #climatechange, #Prysmian adopts science-based targets (1.5°), with net zero goal by 2040 (scope 1 and 2) #PrysmianIR https://t.co/OcIgm5gTHE https://t.co/QIR7s927tL","['ESG', 'climatechange', 'Prysmian', 'PrysmianIR']"
59,vonderHeydenlab,Molecular Ecologist working on #Africa #marine #genomics #conservation #eDNA #seagrass @ProjectSeaStore Chair @SANCORcommunity ScienceMum!,"Stellenbosch, South Africa",1104,1149,1859,0,"Hello #AcademicTwitter - I am getting my third year #climatechange class to design  conference type posters, but have deleted the ones I have made over the years! Are there any of you out there willing to share your best posters with us and that I can use as examples in class?","['AcademicTwitter', 'climatechange']"
60,Isayanora,🇦🇲 in 🇯🇴 Communication Specialist at the UNDP Regional Bureau for Arab States🇺🇳 and dedicated to helping the people and the planet. Views are my own.,Hashemite Kingdom of Jordan,659,1032,5577,3,"Some of the challenges in #Sudan:

🔹Desertification &amp; #climatechange
🔹Displacement
🔹Poverty &amp; unemployment
🔹Underrepresentation of women in decision-making
🔹Conflicts between pastoral groups &amp; sedentary farmers
🔹Lack of data driven policies

@DKyurkchieva #IWD2021 https://t.co/MEiznQspd7","['Sudan', 'climatechange']"
61,URBEDmcr,URBED (Urbanism Environment and Design) is a co-operative. We specialise in urban design and sustainability in an urban context.,Northern Quarter...Manchester,1560,4271,2996,0,"Meet Charlotte. #Landscapearchitect &amp; #urbandesigner. Keen interest in how #greeninfrastructure can sustainably &amp; resiliently manage the effects of #climatechange. Tree identifying whizz 🌳 
#IWD2021 #InternationalWomensDay 
Full bio: https://t.co/HLroFWvk0e https://t.co/e4uF4znglZ","['Landscapearchitect', 'urbandesigner', 'greeninfrastructure', 'climatechange', 'IWD2021', 'InternationalWomensDay']"
62,buzz_us,😃TV STATION a ISLAND🏝FREE stage A PYRAMID positive TV 24/7 #nonprofitledership #music BROADCASTING GLOBAL EVi3 #buzzofftoxic🤓#VEGAN #ChangeWedsday🌎💚👋,Pembrokeshire Wales UK,17038,15503,23868,11,"Learn about #ClimateChange while reading the epic adventures of @PoloClimateBear. Download Book 2 of his #comic book story for free! https://t.co/Z9udIOVQl9
 #CHILDRENSBOOK  #homeschooling @LobbyForClimate @Climate_Edu @KyotoRebellion @climate @kidslitbookcafe","['ClimateChange', 'comic']"
63,CAPplanners,"Commonwealth Association of Planners supports the planning profession in the Commonwealth through capacity building, knowledge sharing, education and research.",Edinburgh,417,2121,3035,1,"""As...cities &amp; provinces enhance efforts to tackle the #climatecrisis through ambitious #climatechange plans &amp; revised #urbanplanning...recognition of the links between environmental #equity &amp; #socialjustice should inspire us to create a better #future...""
https://t.co/horDOxUcBq","['climatecrisis', 'climatechange', 'urbanplanning', 'equity', 'socialjustice', 'future']"
64,John_Lauder,"Deputy CEO Sustrans UK. Executive Director for Scotland, Northern Ireland & Republic of Ireland. Scots Borderer. Bagpiper. Optimist. Walking-Cycling-Wheeling",Edinburgh.,2041,3035,13637,3,"#UnionConnectivityReview fails to take serious approach to #ClimateEmergency

https://t.co/HqGJlL0Oxv

""This ‘more of everything’ approach is well past its sell-by date. It makes a mockery of the @GOVUK's supposedly world-leading commitment to reducing carbon emissions."" 

#COP26 https://t.co/gEN8zzkF5V","['UnionConnectivityReview', 'ClimateEmergency']"
65,MandaravaN,"#Goals :A viable future for humanity! Let's #WakeUp from the current dream, closr.

Big picture thinker. Time for multi-disciplinary thinking/systems solutions.","New Mexico, USA, Planet Earth",904,232,6955,1,"Red flag warnings NOW show accelerating #ClimateChange -another reason why all should say NO to #HB57
It gives #NewMexico land owners ""right to burn"" even tree trunks w/o liability. You have to sue them/prove negligence 4 escaped fire.
In #SJC https://t.co/3grAIz7wdH
TODAY 130pm","['ClimateChange', 'HB57', 'NewMexico', 'SJC']"
